district,year,murder,attempt_to_murder,rape,kidnapping,dacoity,robbery,burglary,theft,riots,cheating,dowry_deaths,total_crimes,population,crime_rate_per_100k
Bidar,2016,52.0,90.0,324.0,359.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,4367.0,1289247.0,338.72
Bidar,2017,17.0,5.0,0.0,2.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,749.0,1289247.0,58.1
Bidar,2018,117.0,9.0,38.0,231.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,4987.0,1289247.0,386.81
Bidar,2019,86.0,5.0,36.0,232.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,3978.0,1289247.0,308.55
Bidar,2020,43.0,9.0,43.0,180.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,3681.0,1289247.0,285.52
Bidar,2021,67.0,7.0,35.0,225.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,3711.0,1289247.0,287.84
Bidar,2022,80.0,11.0,48.0,258.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,4166.0,1289247.0,323.13
Bijapur,2013,66.0,45.0,28.0,37.0,6.0,27.0,118.0,145.0,205.0,54.0,2.0,2569.0,1000000.0,256.9
Bijapur,2016,86.0,71.0,513.0,275.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3965.0,1000000.0,396.5
Bijapur,2017,85.0,10.0,10.0,336.0,43.0,2.0,0.0,0.0,0.0,0.0,0.0,4437.0,1000000.0,443.7
Bijapur,2018,68.0,6.0,33.0,340.0,96.0,2.0,0.0,0.0,0.0,0.0,0.0,4870.0,1000000.0,487.0
Bijapur,2019,78.0,7.0,18.0,326.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3843.0,1000000.0,384.3
Bijapur,2020,100.0,0.0,36.0,368.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,4130.0,1000000.0,413.0
Bijapur,2021,84.0,9.0,37.0,349.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,4584.0,1000000.0,458.4
Bijapur,2022,67.0,5.0,40.0,347.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,4452.0,1000000.0,445.2
Chamarajanagar,2013,27.0,63.0,16.0,17.0,5.0,11.0,54.0,137.0,141.0,41.0,4.0,1866.0,845817.0,220.62
Chamarajanagar,2016,28.0,74.0,194.0,259.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,2521.0,845817.0,298.06
Chamarajanagar,2017,22.0,2.0,5.0,152.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2661.0,845817.0,314.61
Chamarajanagar,2018,37.0,8.0,14.0,140.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,3911.0,845817.0,462.39
Chamarajanagar,2019,28.0,7.0,12.0,131.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,2698.0,845817.0,318.98
Chamarajanagar,2020,28.0,3.0,13.0,135.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,2122.0,845817.0,250.88
Chamarajanagar,2021,47.0,3.0,9.0,143.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,2443.0,845817.0,288.83
Chamarajanagar,2022,48.0,3.0,14.0,165.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,2489.0,845817.0,294.27
Chikkaballapura,2013,43.0,32.0,33.0,26.0,1.0,26.0,76.0,211.0,228.0,56.0,17.0,2372.0,989826.0,239.64
Chikkaballapura,2016,40.0,55.0,213.0,72.0,73.0,1.0,0.0,0.0,0.0,0.0,0.0,2933.0,989826.0,296.31
Chikkaballapura,2017,41.0,3.0,25.0,210.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,3003.0,989826.0,303.39
Chikkaballapura,2018,61.0,17.0,31.0,229.0,168.0,4.0,0.0,0.0,0.0,0.0,0.0,3510.0,989826.0,354.61
Chikkaballapura,2019,49.0,16.0,29.0,221.0,73.0,3.0,0.0,0.0,0.0,0.0,0.0,4868.0,989826.0,491.8
Chikkaballapura,2020,58.0,4.0,0.0,218.0,96.0,4.0,0.0,0.0,0.0,0.0,0.0,3448.0,989826.0,348.34
Chikkaballapura,2021,67.0,9.0,22.0,231.0,161.0,1.0,0.0,0.0,0.0,0.0,0.0,4323.0,989826.0,436.74
Chikkaballapura,2022,65.0,5.0,12.0,243.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,4568.0,989826.0,461.5
Chikmagalur,2013,38.0,37.0,21.0,36.0,7.0,20.0,106.0,162.0,154.0,71.0,7.0,2758.0,898453.0,306.97
Chikmagalur,2016,56.0,66.0,279.0,403.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,3874.0,898453.0,431.19
Chikmagalur,2017,23.0,18.0,21.0,164.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0,3675.0,898453.0,409.04
Chikmagalur,2018,55.0,9.0,32.0,137.0,138.0,2.0,0.0,0.0,0.0,0.0,0.0,3784.0,898453.0,421.17
Chikmagalur,2019,41.0,10.0,33.0,157.0,61.0,2.0,0.0,0.0,0.0,0.0,0.0,3425.0,898453.0,381.21
Chikmagalur,2020,40.0,9.0,10.0,165.0,74.0,2.0,0.0,0.0,0.0,0.0,0.0,3557.0,898453.0,395.9
Chikmagalur,2021,33.0,4.0,12.0,172.0,112.0,6.0,0.0,0.0,0.0,0.0,0.0,3852.0,898453.0,428.74
Chikmagalur,2022,55.0,7.0,55.0,169.0,122.0,1.0,0.0,0.0,0.0,0.0,0.0,4074.0,898453.0,453.45
Chitradurga,2013,31.0,42.0,31.0,28.0,4.0,25.0,130.0,213.0,193.0,62.0,7.0,3970.0,1347690.0,294.58
Chitradurga,2016,33.0,38.0,679.0,156.0,32.0,3.0,0.0,0.0,0.0,0.0,0.0,5256.0,1347690.0,390.0
Chitradurga,2017,57.0,4.0,9.0,326.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,4851.0,1347690.0,359.95
Chitradurga,2018,78.0,14.0,26.0,321.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,5452.0,1347690.0,404.54
Chitradurga,2019,53.0,4.0,7.0,338.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,4648.0,1347690.0,344.89
Chitradurga,2020,52.0,9.0,49.0,299.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,4953.0,1347690.0,367.52
Chitradurga,2021,49.0,7.0,9.0,364.0,78.0,2.0,0.0,0.0,0.0,0.0,0.0,5406.0,1347690.0,401.13
Chitradurga,2022,77.0,6.0,110.0,292.0,96.0,1.0,0.0,0.0,0.0,0.0,0.0,5531.0,1347690.0,410.41
Dakshina Kannada,2013,42.0,56.0,34.0,29.0,15.0,96.0,273.0,341.0,282.0,300.0,1.0,4922.0,1379283.0,356.85
Dakshina Kannada,2016,47.0,374.0,143.0,35.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,6461.0,1379283.0,468.43
Dakshina Kannada,2017,55.0,25.0,9.0,326.0,107.0,6.0,0.0,0.0,0.0,0.0,0.0,6596.0,1379283.0,478.22
Dakshina Kannada,2018,61.0,52.0,20.0,265.0,170.0,20.0,0.0,0.0,0.0,0.0,0.0,6735.0,1379283.0,488.3
Dakshina Kannada,2019,49.0,22.0,5.0,267.0,111.0,7.0,0.0,0.0,0.0,0.0,0.0,5464.0,1379283.0,396.15
Dakshina Kannada,2020,55.0,8.0,7.0,209.0,93.0,3.0,0.0,0.0,0.0,0.0,0.0,4452.0,1379283.0,322.78
Dakshina Kannada,2021,47.0,18.0,14.0,244.0,121.0,3.0,0.0,0.0,0.0,0.0,0.0,5462.0,1379283.0,396.0
Dakshina Kannada,2022,54.0,16.0,19.0,282.0,136.0,7.0,0.0,0.0,0.0,0.0,0.0,5053.0,1379283.0,366.35
Davanagere,2013,33.0,23.0,33.0,31.0,7.0,58.0,180.0,397.0,352.0,93.0,14.0,3843.0,1329542.0,289.05
Davanagere,2016,41.0,43.0,410.0,114.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,3896.0,1329542.0,293.03
Davanagere,2017,73.0,15.0,29.0,228.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,4481.0,1329542.0,337.03
Davanagere,2018,164.0,25.0,56.0,245.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,5617.0,1329542.0,422.48
Davanagere,2019,96.0,6.0,10.0,256.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,4110.0,1329542.0,309.13
Davanagere,2020,97.0,2.0,16.0,202.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0,1329542.0,269.57
Davanagere,2021,120.0,10.0,34.0,207.0,85.0,1.0,0.0,0.0,0.0,0.0,0.0,4210.0,1329542.0,316.65
Davanagere,2022,122.0,6.0,36.0,269.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,4630.0,1329542.0,348.24
Dharwad,2013,44.0,92.0,34.0,112.0,8.0,70.0,222.0,447.0,242.0,199.0,5.0,3681.0,797484.0,461.58
Dharwad,2016,52.0,89.0,469.0,136.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,4003.0,797484.0,501.95
Dharwad,2017,50.0,12.0,40.0,210.0,52.0,3.0,0.0,0.0,0.0,0.0,0.0,3802.0,797484.0,476.75
Dharwad,2018,40.0,13.0,43.0,231.0,80.0,2.0,0.0,0.0,0.0,0.0,0.0,4212.0,797484.0,528.16
Dharwad,2019,40.0,5.0,34.0,218.0,48.0,2.0,0.0,0.0,0.0,0.0,0.0,3328.0,797484.0,417.31
Dharwad,2020,38.0,6.0,41.0,197.0,45.0,2.0,0.0,0.0,0.0,0.0,0.0,3300.0,797484.0,413.8
Dharwad,2021,34.0,8.0,64.0,225.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,4782.0,797484.0,599.64
Dharwad,2022,48.0,9.0,75.0,230.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,5039.0,797484.0,631.86
Gadag,2013,24.0,25.0,18.0,13.0,1.0,12.0,39.0,75.0,104.0,27.0,1.0,1092.0,685261.0,159.36
Gadag,2016,17.0,34.0,323.0,209.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,1810.0,685261.0,264.13
Gadag,2017,21.0,3.0,4.0,140.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,2099.0,685261.0,306.31
Gadag,2018,22.0,0.0,2.0,118.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,2815.0,685261.0,410.79
Gadag,2019,18.0,2.0,6.0,132.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1681.0,685261.0,245.31
Gadag,2020,20.0,4.0,5.0,145.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1571.0,685261.0,229.26
Gadag,2021,16.0,0.0,0.0,136.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1668.0,685261.0,243.41
Gadag,2022,27.0,1.0,3.0,151.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1988.0,685261.0,290.11
Gulbarga,2013,88.0,118.0,54.0,60.0,13.0,62.0,195.0,274.0,470.0,79.0,8.0,4524.0,1755460.0,257.71
Gulbarga,2016,84.0,102.0,718.0,128.0,57.0,3.0,0.0,0.0,0.0,0.0,0.0,5118.0,1755460.0,291.55
Gulbarga,2017,113.0,23.0,38.0,289.0,66.0,3.0,0.0,0.0,0.0,0.0,0.0,5198.0,1755460.0,296.1
Gulbarga,2018,142.0,28.0,51.0,324.0,112.0,3.0,0.0,0.0,0.0,0.0,0.0,6246.0,1755460.0,355.8
Gulbarga,2019,100.0,12.0,71.0,301.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,5316.0,1755460.0,302.83
Gulbarga,2020,98.0,13.0,43.0,324.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0,5168.0,1755460.0,294.4
Gulbarga,2021,183.0,14.0,20.0,358.0,85.0,1.0,0.0,0.0,0.0,0.0,0.0,5772.0,1755460.0,328.8
Gulbarga,2022,137.0,12.0,28.0,369.0,73.0,1.0,0.0,0.0,0.0,0.0,0.0,5883.0,1755460.0,335.13
Hassan,2013,57.0,92.0,61.0,57.0,3.0,52.0,224.0,415.0,170.0,114.0,12.0,5433.0,1453696.0,373.74
Hassan,2016,62.0,109.0,140.0,134.0,49.0,5.0,0.0,0.0,0.0,0.0,0.0,5996.0,1453696.0,412.47
Hassan,2017,106.0,5.0,29.0,381.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,6008.0,1453696.0,413.29
Hassan,2018,214.0,6.0,24.0,399.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,7107.0,1453696.0,488.89
Hassan,2019,127.0,5.0,21.0,396.0,87.0,5.0,0.0,0.0,0.0,0.0,0.0,5492.0,1453696.0,377.8
Hassan,2020,154.0,6.0,54.0,306.0,79.0,2.0,0.0,0.0,0.0,0.0,0.0,5814.0,1453696.0,399.95
Hassan,2021,129.0,11.0,37.0,372.0,138.0,1.0,0.0,0.0,0.0,0.0,0.0,6716.0,1453696.0,461.99
Hassan,2022,141.0,6.0,27.0,412.0,152.0,1.0,0.0,0.0,0.0,0.0,0.0,6098.0,1453696.0,419.48
Haveri,2013,16.0,31.0,18.0,14.0,5.0,20.0,76.0,145.0,254.0,49.0,1.0,2157.0,1255493.0,171.81
Haveri,2016,26.0,72.0,226.0,132.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,2794.0,1255493.0,222.54
Haveri,2017,45.0,6.0,8.0,200.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,2772.0,1255493.0,220.79
Haveri,2018,58.0,8.0,10.0,242.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,3592.0,1255493.0,286.1
Haveri,2019,57.0,7.0,16.0,179.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,2939.0,1255493.0,234.09
Haveri,2020,45.0,4.0,16.0,184.0,59.0,2.0,0.0,0.0,0.0,0.0,0.0,2936.0,1255493.0,233.85
Haveri,2021,37.0,10.0,13.0,205.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,3213.0,1255493.0,255.92
Haveri,2022,47.0,4.0,24.0,234.0,78.0,2.0,0.0,0.0,0.0,0.0,0.0,3322.0,1255493.0,264.6
Kodagu,2013,30.0,33.0,26.0,23.0,3.0,17.0,107.0,128.0,48.0,54.0,2.0,1707.0,1000000.0,170.7
Kodagu,2016,29.0,66.0,34.0,37.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0,1000000.0,201.8
Kodagu,2017,27.0,9.0,0.0,86.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,2101.0,1000000.0,210.1
Kodagu,2018,24.0,3.0,7.0,68.0,72.0,4.0,0.0,0.0,0.0,0.0,0.0,2218.0,1000000.0,221.8
Kodagu,2019,36.0,7.0,3.0,84.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1974.0,1000000.0,197.4
Kodagu,2020,41.0,2.0,0.0,62.0,79.0,2.0,0.0,0.0,0.0,0.0,0.0,1786.0,1000000.0,178.6
Kodagu,2021,22.0,2.0,1.0,59.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1789.0,1000000.0,178.9
Kodagu,2022,21.0,4.0,7.0,61.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,1768.0,1000000.0,176.8
Kolar,2013,57.0,74.0,43.0,22.0,8.0,65.0,166.0,249.0,301.0,104.0,9.0,3097.0,1085738.0,285.24
Kolar,2016,42.0,60.0,90.0,24.0,40.0,3.0,0.0,0.0,0.0,0.0,0.0,2932.0,1085738.0,270.05
Kolar,2017,82.0,5.0,48.0,244.0,41.0,2.0,0.0,0.0,0.0,0.0,0.0,3044.0,1085738.0,280.36
Kolar,2018,94.0,2.0,31.0,247.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,3447.0,1085738.0,317.48
Kolar,2019,68.0,4.0,34.0,225.0,74.0,1.0,0.0,0.0,0.0,0.0,0.0,3038.0,1085738.0,279.81
Kolar,2020,68.0,12.0,49.0,166.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,3049.0,1085738.0,280.82
Kolar,2021,83.0,6.0,36.0,168.0,79.0,2.0,0.0,0.0,0.0,0.0,0.0,3405.0,1085738.0,313.61
Kolar,2022,93.0,5.0,49.0,234.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,4210.0,1085738.0,387.75
Koppal,2013,22.0,14.0,22.0,14.0,3.0,7.0,49.0,84.0,138.0,54.0,0.0,1732.0,1174001.0,147.53
Koppal,2016,22.0,37.0,530.0,15.0,35.0,4.0,0.0,0.0,0.0,0.0,0.0,2317.0,1174001.0,197.36
Koppal,2017,16.0,3.0,1.0,192.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2892.0,1174001.0,246.34
Koppal,2018,37.0,3.0,9.0,186.0,108.0,2.0,0.0,0.0,0.0,0.0,0.0,4778.0,1174001.0,406.98
Koppal,2019,18.0,8.0,7.0,198.0,57.0,1.0,0.0,0.0,0.0,0.0,0.0,2772.0,1174001.0,236.12
Koppal,2020,17.0,6.0,11.0,200.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,2669.0,1174001.0,227.34
Koppal,2021,14.0,4.0,11.0,215.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2739.0,1174001.0,233.3
Koppal,2022,19.0,1.0,3.0,245.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,3220.0,1174001.0,274.28
Mandya,2013,50.0,76.0,31.0,74.0,9.0,67.0,221.0,559.0,305.0,120.0,19.0,5544.0,1512874.0,366.45
Mandya,2016,60.0,97.0,236.0,557.0,48.0,10.0,0.0,0.0,0.0,0.0,0.0,7085.0,1512874.0,468.31
Mandya,2017,98.0,10.0,37.0,414.0,79.0,1.0,0.0,0.0,0.0,0.0,0.0,7047.0,1512874.0,465.8
Mandya,2018,92.0,26.0,24.0,457.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,7510.0,1512874.0,496.41
Mandya,2019,75.0,9.0,22.0,473.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,6102.0,1512874.0,403.34
Mandya,2020,87.0,7.0,1.0,371.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,6094.0,1512874.0,402.81
Mandya,2021,105.0,9.0,17.0,362.0,94.0,1.0,0.0,0.0,0.0,0.0,0.0,6365.0,1512874.0,420.72
Mandya,2022,97.0,10.0,49.0,405.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,5886.0,1512874.0,389.06
Mysore,2013,96.0,73.0,45.0,77.0,19.0,185.0,345.0,921.0,329.0,334.0,26.0,7032.0,1896498.0,370.79
Mysore,2016,98.0,112.0,340.0,524.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,8439.0,1896498.0,444.98
Mysore,2017,157.0,46.0,43.0,436.0,120.0,4.0,0.0,0.0,0.0,0.0,0.0,9072.0,1896498.0,478.36
Mysore,2018,284.0,57.0,15.0,537.0,192.0,7.0,0.0,0.0,0.0,0.0,0.0,9552.0,1896498.0,503.67
Mysore,2019,164.0,43.0,81.0,462.0,102.0,5.0,0.0,0.0,0.0,0.0,0.0,8258.0,1896498.0,435.43
Mysore,2020,165.0,17.0,21.0,453.0,89.0,3.0,0.0,0.0,0.0,0.0,0.0,7977.0,1896498.0,420.62
Mysore,2021,174.0,31.0,41.0,427.0,146.0,3.0,0.0,0.0,0.0,0.0,0.0,8840.0,1896498.0,466.12
Mysore,2022,230.0,29.0,140.0,481.0,191.0,1.0,0.0,0.0,0.0,0.0,0.0,9150.0,1896498.0,482.47
Raichur,2013,47.0,46.0,43.0,24.0,8.0,13.0,67.0,156.0,294.0,108.0,3.0,3062.0,1471830.0,208.04
Raichur,2016,49.0,53.0,386.0,93.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,3947.0,1471830.0,268.17
Raichur,2017,113.0,5.0,33.0,243.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,4144.0,1471830.0,281.55
Raichur,2018,123.0,8.0,37.0,249.0,80.0,2.0,0.0,0.0,0.0,0.0,0.0,4924.0,1471830.0,334.55
Raichur,2019,89.0,2.0,8.0,243.0,43.0,2.0,0.0,0.0,0.0,0.0,0.0,3467.0,1471830.0,235.56
Raichur,2020,105.0,4.0,19.0,254.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,3622.0,1471830.0,246.09
Raichur,2021,99.0,12.0,41.0,265.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3663.0,1471830.0,248.87
Raichur,2022,103.0,10.0,36.0,267.0,52.0,2.0,0.0,0.0,0.0,0.0,0.0,4066.0,1471830.0,276.25
Ramanagara,2013,51.0,71.0,21.0,43.0,19.0,92.0,273.0,507.0,250.0,68.0,11.0,4363.0,833908.0,523.2
Ramanagara,2016,70.0,67.0,136.0,48.0,30.0,9.0,0.0,0.0,0.0,0.0,0.0,5209.0,833908.0,624.65
Ramanagara,2017,73.0,5.0,50.0,337.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,4854.0,833908.0,582.08
Ramanagara,2018,98.0,2.0,54.0,319.0,70.0,2.0,0.0,0.0,0.0,0.0,0.0,4615.0,833908.0,553.42
Ramanagara,2019,80.0,4.0,25.0,334.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,4292.0,833908.0,514.69
Ramanagara,2020,82.0,5.0,12.0,278.0,66.0,2.0,0.0,0.0,0.0,0.0,0.0,4762.0,833908.0,571.05
Ramanagara,2021,107.0,5.0,36.0,227.0,92.0,3.0,0.0,0.0,0.0,0.0,0.0,4441.0,833908.0,532.55
Ramanagara,2022,112.0,6.0,0.0,346.0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,6114.0,833908.0,733.17
Shimoga,2013,44.0,65.0,43.0,67.0,10.0,66.0,191.0,340.0,330.0,217.0,5.0,5943.0,1129026.0,526.38
Shimoga,2016,55.0,173.0,383.0,479.0,103.0,10.0,0.0,0.0,0.0,0.0,0.0,6857.0,1129026.0,607.34
Shimoga,2017,44.0,18.0,23.0,295.0,84.0,1.0,0.0,0.0,0.0,0.0,0.0,7185.0,1129026.0,636.39
Shimoga,2018,44.0,8.0,16.0,291.0,200.0,6.0,0.0,0.0,0.0,0.0,0.0,8174.0,1129026.0,723.99
Shimoga,2019,99.0,7.0,21.0,311.0,119.0,1.0,0.0,0.0,0.0,0.0,0.0,5916.0,1129026.0,523.99
Shimoga,2020,94.0,7.0,21.0,250.0,133.0,1.0,0.0,0.0,0.0,0.0,0.0,5516.0,1129026.0,488.56
Shimoga,2021,123.0,7.0,18.0,278.0,145.0,2.0,0.0,0.0,0.0,0.0,0.0,5966.0,1129026.0,528.42
Shimoga,2022,121.0,10.0,16.0,318.0,182.0,3.0,0.0,0.0,0.0,0.0,0.0,6446.0,1129026.0,570.93
Tumkur,2013,58.0,49.0,37.0,41.0,10.0,90.0,210.0,421.0,201.0,157.0,14.0,4829.0,2096829.0,230.3
Tumkur,2016,70.0,79.0,483.0,133.0,48.0,2.0,0.0,0.0,0.0,0.0,0.0,5891.0,2096829.0,280.95
